Country Name,Country Code,Indicator Name,Indicator Code,2023
Cote d'Ivoire,COT,"Population, total",SP.POP.TOTL,17088680
Cameroon,CAM,"Population, total",SP.POP.TOTL,874843
"Congo, Dem. Rep.",CON,"Population, total",SP.POP.TOTL,60010572
"Congo, Rep.",CON,"Population, total",SP.POP.TOTL,7486444
Colombia,COL,"Population, total",SP.POP.TOTL,27156394
Comoros,COM,"Population, total",SP.POP.TOTL,9338664
Cabo Verde,CAB,"Population, total",SP.POP.TOTL,18352772
Costa Rica,COS,"Population, total",SP.POP.TOTL,19780594
Caribbean small states,CAR,"Population, total",SP.POP.TOTL,5109714
Cuba,CUB,"Population, total",SP.POP.TOTL,87320178
Curaçao,CUR,"Population, total",SP.POP.TOTL,37306134
Cayman Islands,CAY,"Population, total",SP.POP.TOTL,70127360
Cyprus,CYP,"Population, total",SP.POP.TOTL,56303799
Czechia,CZE,"Population, total",SP.POP.TOTL,22776360
Germany,GER,"Population, total",SP.POP.TOTL,63735884
Djibouti,DJI,"Population, total",SP.POP.TOTL,2316386
Dominica,DOM,"Population, total",SP.POP.TOTL,5453367
Denmark,DEN,"Population, total",SP.POP.TOTL,1157049
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9838302
Algeria,ALG,"Population, total",SP.POP.TOTL,12303257
East Asia & Pacific (excluding high income),EAS,"Population, total",SP.POP.TOTL,7914011
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,44113946
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,11030674
Europe & Central Asia (excluding high income),EUR,"Population, total",SP.POP.TOTL,8245071
Europe & Central Asia,EUR,"Population, total",SP.POP.TOTL,19560177
Ecuador,ECU,"Population, total",SP.POP.TOTL,3797453
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,40512089
Euro area,EUR,"Population, total",SP.POP.TOTL,1936896
Eritrea,ERI,"Population, total",SP.POP.TOTL,108353658
Spain,SPA,"Population, total",SP.POP.TOTL,36987094
Estonia,EST,"Population, total",SP.POP.TOTL,5538486
Ethiopia,ETH,"Population, total",SP.POP.TOTL,138435
European Union,EUR,"Population, total",SP.POP.TOTL,42247419
Fragile and conflict affected situations,FRA,"Population, total",SP.POP.TOTL,30677397
Finland,FIN,"Population, total",SP.POP.TOTL,32641572
Fiji,FIJ,"Population, total",SP.POP.TOTL,36880363
France,FRA,"Population, total",SP.POP.TOTL,1923231
Faroe Islands,FAR,"Population, total",SP.POP.TOTL,11097316
"Micronesia, Fed. Sts.",MIC,"Population, total",SP.POP.TOTL,3078752
Gabon,GAB,"Population, total",SP.POP.TOTL,49713239
United Kingdom,UNI,"Population, total",SP.POP.TOTL,24407529
Georgia,GEO,"Population, total",SP.POP.TOTL,10045470
Ghana,GHA,"Population, total",SP.POP.TOTL,1641701
Gibraltar,GIB,"Population, total",SP.POP.TOTL,9312208
Guinea,GUI,"Population, total",SP.POP.TOTL,9832855
"Gambia, The",GAM,"Population, total",SP.POP.TOTL,32696894
Guinea-Bissau,GUI,"Population, total",SP.POP.TOTL,25372233
Equatorial Guinea,EQU,"Population, total",SP.POP.TOTL,54556297
Greece,GRE,"Population, total",SP.POP.TOTL,15976653
Grenada,GRE,"Population, total",SP.POP.TOTL,3184309
Greenland,GRE,"Population, total",SP.POP.TOTL,31228158
Guatemala,GUA,"Population, total",SP.POP.TOTL,35759818
Guam,GUA,"Population, total",SP.POP.TOTL,20597187
Guyana,GUY,"Population, total",SP.POP.TOTL,36847249
High income,HIG,"Population, total",SP.POP.TOTL,17020368
"Hong Kong SAR, China",HON,"Population, total",SP.POP.TOTL,18491970
Honduras,HON,"Population, total",SP.POP.TOTL,13945354
Heavily indebted poor countries (HIPC),HEA,"Population, total",SP.POP.TOTL,643694
Croatia,CRO,"Population, total",SP.POP.TOTL,2854185
Haiti,HAI,"Population, total",SP.POP.TOTL,798342
Hungary,HUN,"Population, total",SP.POP.TOTL,25293238
IBRD only,IBR,"Population, total",SP.POP.TOTL,9434917
IDA & IBRD total,IDA,"Population, total",SP.POP.TOTL,17760929
IDA total,IDA,"Population, total",SP.POP.TOTL,59531638
IDA blend,IDA,"Population, total",SP.POP.TOTL,7168470
Indonesia,IND,"Population, total",SP.POP.TOTL,277534122
IDA only,IDA,"Population, total",SP.POP.TOTL,35218728
Isle of Man,ISL,"Population, total",SP.POP.TOTL,6495128
India,IND,"Population, total",SP.POP.TOTL,1428627663
Ireland,IRE,"Population, total",SP.POP.TOTL,8553507
"Iran, Islamic Rep.",IRA,"Population, total",SP.POP.TOTL,4395208
Iraq,IRA,"Population, total",SP.POP.TOTL,66373752
Iceland,ICE,"Population, total",SP.POP.TOTL,41272177
Israel,ISR,"Population, total",SP.POP.TOTL,25087354
Italy,ITA,"Population, total",SP.POP.TOTL,51287993
Jamaica,JAM,"Population, total",SP.POP.TOTL,40699223
Jordan,JOR,"Population, total",SP.POP.TOTL,5162386
Japan,JAP,"Population, total",SP.POP.TOTL,55770335
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,19377497
Kenya,KEN,"Population, total",SP.POP.TOTL,41183707
Kyrgyz Republic,KYR,"Population, total",SP.POP.TOTL,56606066
Cambodia,CAM,"Population, total",SP.POP.TOTL,9568267
Kiribati,KIR,"Population, total",SP.POP.TOTL,2914804
St. Kitts and Nevis,ST.,"Population, total",SP.POP.TOTL,6467168
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,13926442
Kuwait,KUW,"Population, total",SP.POP.TOTL,42595743
Latin America & Caribbean (excluding high income),LAT,"Population, total",SP.POP.TOTL,49283624
Lao PDR,LAO,"Population, total",SP.POP.TOTL,174410
Lebanon,LEB,"Population, total",SP.POP.TOTL,17871903
Liberia,LIB,"Population, total",SP.POP.TOTL,13506833
Libya,LIB,"Population, total",SP.POP.TOTL,6279183
St. Lucia,ST.,"Population, total",SP.POP.TOTL,3192009
Latin America & Caribbean,LAT,"Population, total",SP.POP.TOTL,10297714
Least developed countries: UN classification,LEA,"Population, total",SP.POP.TOTL,71578028
Low income,LOW,"Population, total",SP.POP.TOTL,9759595
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,18286320
Sri Lanka,SRI,"Population, total",SP.POP.TOTL,30352174
Lower middle income,LOW,"Population, total",SP.POP.TOTL,11299362
Low & middle income,LOW,"Population, total",SP.POP.TOTL,89194953
Lesotho,LES,"Population, total",SP.POP.TOTL,82050246
Late-demographic dividend,LAT,"Population, total",SP.POP.TOTL,7251532
Lithuania,LIT,"Population, total",SP.POP.TOTL,17191481
Luxembourg,LUX,"Population, total",SP.POP.TOTL,8948261
Latvia,LAT,"Population, total",SP.POP.TOTL,8381241
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,939611
St. Martin (French part),ST.,"Population, total",SP.POP.TOTL,23512301
Morocco,MOR,"Population, total",SP.POP.TOTL,17462990
Monaco,MON,"Population, total",SP.POP.TOTL,1321277
Moldova,MOL,"Population, total",SP.POP.TOTL,8165648
Madagascar,MAD,"Population, total",SP.POP.TOTL,59721523
Maldives,MAL,"Population, total",SP.POP.TOTL,6846513
Middle East & North Africa,MID,"Population, total",SP.POP.TOTL,3913271
Mexico,MEX,"Population, total",SP.POP.TOTL,16806802
Marshall Islands,MAR,"Population, total",SP.POP.TOTL,106100924
Middle income,MID,"Population, total",SP.POP.TOTL,6928620
North Macedonia,NOR,"Population, total",SP.POP.TOTL,27878875
Mali,MAL,"Population, total",SP.POP.TOTL,35847190
Malta,MAL,"Population, total",SP.POP.TOTL,6783329
Myanmar,MYA,"Population, total",SP.POP.TOTL,32568723
Middle East & North Africa (excluding high income),MID,"Population, total",SP.POP.TOTL,11463069
Montenegro,MON,"Population, total",SP.POP.TOTL,25012593
Mongolia,MON,"Population, total",SP.POP.TOTL,25095945
Northern Mariana Islands,NOR,"Population, total",SP.POP.TOTL,19184631
Mozambique,MOZ,"Population, total",SP.POP.TOTL,2365728
Mauritania,MAU,"Population, total",SP.POP.TOTL,45091119
Mauritius,MAU,"Population, total",SP.POP.TOTL,9670257
Malawi,MAL,"Population, total",SP.POP.TOTL,5160802
Malaysia,MAL,"Population, total",SP.POP.TOTL,1040743
North America,NOR,"Population, total",SP.POP.TOTL,22344460
Namibia,NAM,"Population, total",SP.POP.TOTL,28296293
New Caledonia,NEW,"Population, total",SP.POP.TOTL,418173
Niger,NIG,"Population, total",SP.POP.TOTL,17940764
Nigeria,NIG,"Population, total",SP.POP.TOTL,223804632
Nicaragua,NIC,"Population, total",SP.POP.TOTL,25903108
Netherlands,NET,"Population, total",SP.POP.TOTL,4790105
Norway,NOR,"Population, total",SP.POP.TOTL,29355313
Nepal,NEP,"Population, total",SP.POP.TOTL,12223967
Nauru,NAU,"Population, total",SP.POP.TOTL,69008595
New Zealand,NEW,"Population, total",SP.POP.TOTL,3698610
OECD members,OEC,"Population, total",SP.POP.TOTL,10428310
Oman,OMA,"Population, total",SP.POP.TOTL,3011107
Pakistan,PAK,"Population, total",SP.POP.TOTL,240485658
Panama,PAN,"Population, total",SP.POP.TOTL,52458342
Peru,PER,"Population, total",SP.POP.TOTL,7458184
Philippines,PHI,"Population, total",SP.POP.TOTL,26969068
Palau,PAL,"Population, total",SP.POP.TOTL,42487101
Papua New Guinea,PAP,"Population, total",SP.POP.TOTL,20253309
Poland,POL,"Population, total",SP.POP.TOTL,18856985
Puerto Rico,PUE,"Population, total",SP.POP.TOTL,6921926
"Korea, Dem. People's Rep.",KOR,"Population, total",SP.POP.TOTL,2443153
Portugal,POR,"Population, total",SP.POP.TOTL,56878080
Paraguay,PAR,"Population, total",SP.POP.TOTL,57669360
West Bank and Gaza,WES,"Population, total",SP.POP.TOTL,25066747
Pacific island small states,PAC,"Population, total",SP.POP.TOTL,10351162
Post-demographic dividend,POS,"Population, total",SP.POP.TOTL,10739190
French Polynesia,FRE,"Population, total",SP.POP.TOTL,32361635
Qatar,QAT,"Population, total",SP.POP.TOTL,56852433
Romania,ROM,"Population, total",SP.POP.TOTL,54528314
Russian Federation,RUS,"Population, total",SP.POP.TOTL,37839054
Rwanda,RWA,"Population, total",SP.POP.TOTL,25682767
South Asia,SOU,"Population, total",SP.POP.TOTL,2197293
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,4407355
Sudan,SUD,"Population, total",SP.POP.TOTL,57205762
Senegal,SEN,"Population, total",SP.POP.TOTL,23312348
Singapore,SIN,"Population, total",SP.POP.TOTL,230990
Solomon Islands,SOL,"Population, total",SP.POP.TOTL,2674922
Sierra Leone,SIE,"Population, total",SP.POP.TOTL,27229059
El Salvador,EL ,"Population, total",SP.POP.TOTL,126860
San Marino,SAN,"Population, total",SP.POP.TOTL,4382895
Somalia,SOM,"Population, total",SP.POP.TOTL,19892446
Serbia,SER,"Population, total",SP.POP.TOTL,29432882
Sub-Saharan Africa (excluding high income),SUB,"Population, total",SP.POP.TOTL,26386037
South Sudan,SOU,"Population, total",SP.POP.TOTL,6348746
Sub-Saharan Africa,SUB,"Population, total",SP.POP.TOTL,31135432
Small states,SMA,"Population, total",SP.POP.TOTL,6770593
Sao Tome and Principe,SAO,"Population, total",SP.POP.TOTL,9840872
Suriname,SUR,"Population, total",SP.POP.TOTL,34308938
Slovakia,SLO,"Population, total",SP.POP.TOTL,26219345
Slovenia,SLO,"Population, total",SP.POP.TOTL,47298901
Sweden,SWE,"Population, total",SP.POP.TOTL,26795332
Eswatini,ESW,"Population, total",SP.POP.TOTL,21001107
Sint Maarten (Dutch part),SIN,"Population, total",SP.POP.TOTL,2458926
Seychelles,SEY,"Population, total",SP.POP.TOTL,11460407
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,7704003
Turks and Caicos Islands,TUR,"Population, total",SP.POP.TOTL,6992505
Chad,CHA,"Population, total",SP.POP.TOTL,90307735
East Asia & Pacific (IDA & IBRD countries),EAS,"Population, total",SP.POP.TOTL,12484687
Europe & Central Asia (IDA & IBRD countries),EUR,"Population, total",SP.POP.TOTL,55651380
Togo,TOG,"Population, total",SP.POP.TOTL,24933359
Thailand,THA,"Population, total",SP.POP.TOTL,39595631
Tajikistan,TAJ,"Population, total",SP.POP.TOTL,17460883
Turkmenistan,TUR,"Population, total",SP.POP.TOTL,21503897
Latin America & the Caribbean (IDA & IBRD countries),LAT,"Population, total",SP.POP.TOTL,16957335
Timor-Leste,TIM,"Population, total",SP.POP.TOTL,5430372
Middle East & North Africa (IDA & IBRD countries),MID,"Population, total",SP.POP.TOTL,32044045
Tonga,TON,"Population, total",SP.POP.TOTL,8239434
South Asia (IDA & IBRD countries),SOU,"Population, total",SP.POP.TOTL,615412
Sub-Saharan Africa (IDA & IBRD countries),SUB,"Population, total",SP.POP.TOTL,25924219
Trinidad and Tobago,TRI,"Population, total",SP.POP.TOTL,4873339
Tunisia,TUN,"Population, total",SP.POP.TOTL,70527078
Türkiye,TÜR,"Population, total",SP.POP.TOTL,76939060
Tuvalu,TUV,"Population, total",SP.POP.TOTL,61587747
Tanzania,TAN,"Population, total",SP.POP.TOTL,11557184
Uganda,UGA,"Population, total",SP.POP.TOTL,389432
Ukraine,UKR,"Population, total",SP.POP.TOTL,65888086
Upper middle income,UPP,"Population, total",SP.POP.TOTL,13973456
Uruguay,URU,"Population, total",SP.POP.TOTL,85021050
United States,UNI,"Population, total",SP.POP.TOTL,334914895
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,47934675
St. Vincent and the Grenadines,ST.,"Population, total",SP.POP.TOTL,8719401
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,12157298
British Virgin Islands,BRI,"Population, total",SP.POP.TOTL,47618166
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,9528655
Viet Nam,VIE,"Population, total",SP.POP.TOTL,4642965
Vanuatu,VAN,"Population, total",SP.POP.TOTL,20343424
World,WOR,"Population, total",SP.POP.TOTL,8045000000
Samoa,SAM,"Population, total",SP.POP.TOTL,29770639
Kosovo,KOS,"Population, total",SP.POP.TOTL,21102808
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,2555704
South Africa,SOU,"Population, total",SP.POP.TOTL,23863267
Zambia,ZAM,"Population, total",SP.POP.TOTL,115264243
Zimbabwe,ZIM,"Population, total",SP.POP.TOTL,3773014
